title,start,end,sourceUrl
"Death of Thomas S. Foley, Former Speaker of the House of Representatives","2013-10-29","2013-10-29","https://www.whitehouse.gov/the-press-office/2013/10/28/presidential-proclamation-death-thomas-s-foley-former-speaker-house-repr"
"Day of Remembrance for President John F. Kennedy","2013-11-22","2013-11-22","https://www.whitehouse.gov/the-press-office/2013/11/21/presidential-proclamation-day-remembrance-president-john-f-kennedy"
"Death of Nelson Mandela","2013-12-05","2013-12-09","https://www.whitehouse.gov/the-press-office/2013/12/05/presidential-proclamation-death-nelson-mandela"
"National Pearl Harbor Remembrance Day, 2013","2013-12-07","2013-12-07","https://www.whitehouse.gov/the-press-office/2013/12/05/presidential-proclamation-national-pearl-harbor-remembrance-day-2013"
"Peace Officers Memorial Day, 2014","2014-05-15","2014-05-15","https://www.whitehouse.gov/the-press-office/2014/05/09/proclamation-peace-officers-memorial-day-and-police-week-2014"
"Memorial Day, 2014","2014-05-26","2014-05-26","https://www.whitehouse.gov/the-press-office/2014/05/23/presidential-proclamation-prayer-peace-memorial-day-2014"
"Patriot Day and National Day of Service and Remembrance, 2014","2014-09-11","2014-09-11","https://www.whitehouse.gov/the-press-office/2014/09/10/presidential-proclamation-patriot-day-and-national-day-service-and-remem"
"National Fallen Firefighters Memorial Service, 2014","2014-10-12","2014-10-12","https://www.whitehouse.gov/the-press-office/2014/10/03/presidential-proclamation-fire-prevention-week-2014"
"National Pearl Harbor Remembrance Day, 2014","2014-12-07","2014-12-07","https://www.whitehouse.gov/the-press-office/2014/12/05/presidential-proclamation-national-pearl-harbor-remembrance-day-2014"
"Day of Remembrance for President Abraham Lincoln","2015-04-15","2015-04-15","https://www.whitehouse.gov/the-press-office/2015/04/14/presidential-proclamation-day-remembrance-president-abraham-lincoln"
"Peace Officers Memorial Day, 2015","2015-05-15","2015-05-15","https://www.whitehouse.gov/the-press-office/2015/05/08/presidential-proclamation-peace-officers-memorial-day-and-police-week--0"
"Memorial Day, 2015","2015-05-25","2015-05-25","https://www.whitehouse.gov/the-press-office/2015/05/22/presidential-proclamation-prayer-peace-memorial-day-2015"
"Honoring the Victims of the Tragedy in Chattanooga, Tennessee","2015-07-21","2015-07-25","https://www.whitehouse.gov/the-press-office/2015/07/21/presidential-proclamation-honoring-victims-tragedy-chattanooga-tennessee"
"Patriot Day and National Day of Service and Remembrance, 2015","2015-09-11","2015-09-11","https://www.whitehouse.gov/the-press-office/2015/09/10/presidential-proclamation-patriot-day-and-national-day-service-and"
"Honoring the Victims of the Tragedy in Roseburg, Oregon","2015-10-02","2015-10-06","https://www.whitehouse.gov/the-press-office/2015/10/02/presidential-proclamation-honoring-victims-tragedy-roseburg-oregon"
"National Fallen Firefighters Memorial Service, 2015","2015-10-04","2015-10-04","https://www.whitehouse.gov/the-press-office/2015/10/02/presidential-proclamation-fire-prevention-week-2015"
"Honoring the Victims of the Attack in Paris, France","2015-11-15","2015-11-19","https://www.whitehouse.gov/the-press-office/2015/11/15/presidential-proclamation-honoring-victims-attack-paris-france"
"Honoring the Victims of the Attack in San Bernardino, California","2015-12-03","2015-12-07","https://www.whitehouse.gov/the-press-office/2015/12/03/presidential-proclamation-honoring-victims-attack-san-bernardino"
"National Pearl Harbor Remembrance Day, 2015","2015-12-07","2015-12-07","https://www.whitehouse.gov/the-press-office/2015/12/04/presidential-proclamation-national-pearl-harbor-remembrance-day-2015"
"Death of Antonin Scalia","2016-02-13","2016-02-20","https://www.whitehouse.gov/the-press-office/2016/02/13/presidential-proclamation-death-antonin-scalia"
"Death of Nancy Reagan","2016-03-07","2016-03-11","https://www.whitehouse.gov/the-press-office/2016/03/07/presidential-proclamation-nancy-reagan"
"Honoring the Victims of the Attack in Brussels, Belgium","2016-03-22","2016-03-26","https://www.whitehouse.gov/the-press-office/2016/03/22/presidential-proclamation-honoring-victims-attack-brussels-belgium"
"Peace Officers Memorial Day, 2016","2016-05-15","2016-05-15","https://www.whitehouse.gov/the-press-office/2016/05/13/presidential-proclamation-peace-officers-memorial-day-and-police-week"
"Memorial Day, 2016","2016-05-30","2016-05-30","https://www.whitehouse.gov/the-press-office/2016/05/26/presidential-proclamation-prayer-peace-memorial-day-2016"
"Honoring the Victims of the Attack in Orlando, Florida","2016-06-12","2016-06-16","https://www.whitehouse.gov/the-press-office/2016/06/12/presidential-proclamation-honoring-victims-attack-orlando-florida"
"Honoring the Victims of the Attack in Dallas, Texas","2016-07-08","2016-07-12","https://www.whitehouse.gov/the-press-office/2016/07/08/presidential-proclamation-honoring-victims-attack-dallas-texas"
"Honoring the Victims of the Attack in Nice, France","2016-07-15","2016-07-19","https://www.whitehouse.gov/the-press-office/2016/07/15/presidential-proclamation-honoring-victims-attack-nice-france"
"Honoring the Victims of the Attack in Baton Rouge, Louisiana","2016-07-18","2016-07-22","https://www.whitehouse.gov/the-press-office/2016/07/18/presidential-proclamation-honoring-victims-attack-baton-rouge-louisiana"
"Death of Shimon Peres","2016-09-28","2016-09-30","https://www.whitehouse.gov/the-press-office/2016/09/28/presidential-proclamation-death-shimon-peres"
"National Fallen Firefighters Memorial Service, 2016","2016-10-09","2016-10-09","https://www.whitehouse.gov/the-press-office/2016/10/07/presidential-proclamation-fire-prevention-week-2016"
"National Pearl Harbor Remembrance Day, 2016","2016-12-07","2016-12-07","https://www.whitehouse.gov/the-press-office/2016/12/06/presidential-proclamation-national-pearl-harbor-remembrance-day-2016"
"Death of John Glenn","2016-12-09","2016-12-15","https://www.whitehouse.gov/the-press-office/2016/12/09/presidential-proclamation-death-john-glenn-0"
